2026-04-29 03:04:55 - gpd_ai_companion_qna_batch - INFO - Processed 16/26 rows (61.54%)
2026-04-29 03:04:55 - gpd_ai_companion_qna_batch - INFO - topic_extraction extraction completed successfully.
2026-04-29 03:04:56 - gpd_ai_companion_qna_batch - INFO - is_useful_extraction extraction completed successfully.
2026-04-29 03:04:56 - gpd_ai_companion_qna_batch - INFO - Processed 17/26 rows (65.38%)
2026-04-29 03:04:56 - gpd_ai_companion_qna_batch - INFO - sub_topic_extraction extraction completed successfully.
2026-04-29 03:04:56 - gpd_ai_companion_qna_batch - INFO - sub_topic_extraction extraction completed successfully.
2026-04-29 03:04:58 - gpd_ai_companion_qna_batch - INFO - is_useful_extraction extraction completed successfully.
2026-04-29 03:04:58 - gpd_ai_companion_qna_batch - INFO - Processed 18/26 rows (69.23%)
2026-04-29 03:05:00 - gpd_ai_companion_qna_batch - INFO - topic_extraction extraction completed successfully.
2026-04-29 03:05:01 - gpd_ai_companion_qna_batch - INFO - sub_topic_extraction extraction completed successfully.
2026-04-29 03:05:01 - gpd_ai_companion_qna_batch - INFO - is_useful_extraction extraction completed successfully.
2026-04-29 03:05:01 - gpd_ai_companion_qna_batch - INFO - Processed 19/26 rows (73.08%)
2026-04-29 03:05:02 - gpd_ai_companion_qna_batch - INFO - topic_extraction extraction completed successfully.
2026-04-29 03:05:02 - gpd_ai_companion_qna_batch - INFO - sub_topic_extraction extraction completed successfully.
2026-04-29 03:05:03 - gpd_ai_companion_qna_batch - INFO - is_useful_extraction extraction completed successfully.
2026-04-29 03:05:03 - gpd_ai_companion_qna_batch - INFO - Processed 20/26 rows (76.92%)
2026-04-29 03:05:03 - gpd_ai_companion_qna_batch - INFO - is_useful_extraction extraction completed successfully.
2026-04-29 03:05:03 - gpd_ai_companion_qna_batch - INFO - Processed 21/26 rows (80.77%)
2026-04-29 03:05:03 - gpd_ai_companion_qna_batch - INFO - sub_topic_extraction extraction completed successfully.
2026-04-29 03:05:04 - gpd_ai_companion_qna_batch - INFO - is_useful_extraction extraction completed successfully.
2026-04-29 03:05:04 - gpd_ai_companion_qna_batch - INFO - Processed 22/26 rows (84.62%)
2026-04-29 03:05:04 - gpd_ai_companion_qna_batch - INFO - sub_topic_extraction extraction completed successfully.
2026-04-29 03:05:06 - gpd_ai_companion_qna_batch - INFO - is_useful_extraction extraction completed successfully.
2026-04-29 03:05:06 - gpd_ai_companion_qna_batch - INFO - is_useful_extraction extraction completed successfully.
2026-04-29 03:05:06 - gpd_ai_companion_qna_batch - INFO - Processed 23/26 rows (88.46%)
2026-04-29 03:05:06 - gpd_ai_companion_qna_batch - INFO - Processed 24/26 rows (92.31%)
2026-04-29 03:05:06 - gpd_ai_companion_qna_batch - INFO - sub_topic_extraction extraction completed successfully.
2026-04-29 03:05:07 - gpd_ai_companion_qna_batch - INFO - is_useful_extraction extraction completed successfully.
2026-04-29 03:05:07 - gpd_ai_companion_qna_batch - INFO - Processed 25/26 rows (96.15%)
2026-04-29 03:05:09 - gpd_ai_companion_qna_batch - INFO - is_useful_extraction extraction completed successfully.
2026-04-29 03:05:09 - gpd_ai_companion_qna_batch - INFO - Processed 26/26 rows (100.00%)
2026-04-29 03:05:10 - gpd_ai_companion_qna_batch - INFO - Total rows in dataframe: 26
2026-04-29 03:05:10 - gpd_ai_companion_qna_batch - INFO - batch QnA metadata processed
2026-04-29 03:05:10 - gpd_ai_companion_qna_batch - INFO - Total run time: 1.19 minutes
